id_consob,date,year
ALERION CLEAN POWER SPA,19.12.2018,2018
ALGOWATT SPA (già TERNIENERGIASPA),16.03.2015,2015
ALKEMY SPA,25.06.2019,2019
AMPLIFON SPA,29.01.2015,2015
ARNOLDO MONDADORI EDITORE SPA,27.04.2017,2017
ASCOPIAVE SPA,23.04.2019,2019
ASTALDI SPA,29.01.2015,2015
B&C SPEAKERS SPA,03.02.2021,2021
BANCA SISTEMA SPA,23.04.2020,2020
BIESSE SPA,27.04.2018,2018
BREMBO SPA - FRENI BREMBO,18.04.2019,2019
CAIRO COMMUNICATION SPA,18.07.2016,2016
CAREL INDUSTRIES SPA,27.02.2018,2018
CARRARO SPA,15.04.2016,2016
CENTRALE DEL LATTE D'ITALIA SPA,30.09.2016,2016
CIR SPA,24.04.2015,2015
CLASS EDITORI SPA,30.04.2015,2015
CONAFI PRESTITO' SPA,29.04.2015,2015
DANIELI SPA - OFFICINE MECCANICHEDANIELI & C.,28.10.2020,2020
DATALOGIC SPA,04.05.2017,2017
DEA CAPITAL SPA,17.04.2015,2015
DE' LONGHI SPA,11.04.2017,2017
DIASORIN SPA,28.04.2016,2016
EQUITA GROUP SPA,16.04.2018,2018
ERG SPA,21.04.2020,2020
EXPRIVIA SPA,22.04.2015,2015
FALCK RENEWABLE SPA,07.05.2020,2020
FIDIA SPA,28.04.2017,2017
GAROFALO HEALTH CARE SPA,09.11.2018,2018
GPI SPA,28.12.2018,2018
GRUPPO MUTUIONLINE SPA,24.04.2018,2018
GVS SPA,19.06.2020,2020
HERA SPA,28.04.2015,2015
I.M.A. SPA,21.04.2017,2017
INTEK GROUP SPA,18.06.2015,2015
IREN SPA,09.05.2016,2016
ITALIAN EXHIBITION GROUP SPA,19.06.2019,2019
LANDI RENZO SPA,24.04.2015,2015
LU-VE SPA,30.10.2018,2018
LVENTURE GROUP SPA,28.04.2017,2017
MAIRE TECNIMONT SPA,18.02.2015,2015
MARR SPA,28.04.2020,2020
MEDIASET SPA,18.04.2019,2019
MONRIF SPA,24.04.2019,2019
NEWLAT FOOD SPA,08.07.2019,2019
OPENJOBMETIS SPA,12.10.2015,2015
PANARIAGROUP INDUSTRIE CERAMICHESPA,27.04.2018,2018
PIOVAN SPA,06.07.2018,2018
POLIGRAFICA SAN FAUSTINO SPA,24.04.2015,2015
REPLY SPA,13.09.2017,2017
SABAF SPA,28.04.2016,2016
SAES GETTERS SPA,03.03.2016,2016
SALVATORE FERRAGAMO SPA,20.04.2018,2018
SANLORENZO SPA,20.12.2019,2019
SESA SPA,28.08.2020,2020
TECHNOGYM SPA,16.02.2016,2016
TOD'S SPA,21.04.2017,2017
UNIPOL GRUPPO SPA,30.04.2020,2020
UNIPOLSAI ASSICURAZIONI SPA,29.04.2020,2020
WEBUILD SPA,04.10.2019,2019
WIIT SPA,02.04.2019,2019
ZIGNAGO VETRO SPA,14.04.2015,2015
